pointid,ph_cacl2,ph_h20,ec,oc,caco3,p,n,k
38563082,1,1,2,0,2,0,0,1
38583072,3,3,4,0,3,4,0,0
38583090,3,3,0,0,3,0,0,0
38603088,3,3,0,0,3,2,0,0
38723078,1,1,2,0,2,4,0,1
38843066,1,1,2,0,2,0,0,0
38863068,1,1,0,0,2,0,0,0
38943054,2,0,0,0,2,1,0,1
39003046,3,3,2,0,2,0,0,0
39063046,1,1,0,0,2,0,0,0
39083042,1,1,0,0,2,4,0,1
39263060,1,2,0,0,0,4,0,1
39283056,1,1,0,0,0,0,0,1
39303054,1,1,2,0,0,2,0,0
39763078,1,1,0,0,3,1,0,1
39783064,3,3,2,0,0,4,0,0
39883048,3,1,2,0,3,2,0,3
39943050,3,1,0,0,3,0,0,0
40103044,4,4,0,0,3,1,2,1
40203058,0,4,0,4,3,1,2,1
40243026,0,4,0,2,0,4,4,1
40363052,2,2,2,4,0,1,4,1
40383036,2,2,2,4,0,2,2,1
40423056,4,4,0,4,3,1,4,1
40603038,4,0,2,2,3,1,4,1
39622978,0,4,2,2,0,4,4,0
39663000,2,2,2,0,0,0,2,0
39702984,4,0,2,4,0,0,2,1
39862992,0,4,0,2,3,4,2,1
40043010,2,2,2,0,0,0,2,1
40062984,2,2,0,4,0,2,2,1
40082970,0,4,0,4,3,1,2,1
40163006,1,1,0,0,3,0,2,1
40203018,0,4,0,4,3,1,2,1
39303032,3,3,2,0,3,4,0,1
39363034,0,4,0,4,3,1,2,1
39383058,3,1,0,0,3,0,0,0
39443068,2,2,2,0,0,0,0,1
39483040,1,1,0,0,0,4,0,0
39483050,1,1,2,0,0,0,0,1
39523026,1,1,2,0,0,0,0,0
39523056,3,3,2,0,3,0,0,0
39583032,2,2,0,4,3,1,2,1
39602980,0,4,0,2,0,1,4,1
39642992,4,0,0,4,0,1,2,1
39663018,2,2,0,0,0,1,0,1
39663058,3,3,2,0,3,2,0,0
39663068,3,3,2,0,0,2,0,1
39743040,1,1,2,0,0,0,0,0
39803036,1,1,0,0,0,4,0,1
39823034,1,1,2,0,0,4,0,1
53162396,1,2,0,4,3,1,2,3
53182398,2,2,0,0,3,4,0,0
53242382,2,2,0,0,3,1,0,1
53302384,2,2,0,0,3,4,0,0
53322372,2,2,0,0,3,1,0,0
53322422,3,3,0,0,3,1,0,1
53342392,1,1,2,0,3,1,0,0
53422396,2,2,0,0,3,1,2,0
53442394,2,2,0,0,3,4,0,1
53462362,2,2,0,0,3,1,2,1
53462368,3,3,2,4,0,1,2,3
53482366,4,4,0,0,3,1,0,1
53482384,2,2,0,0,3,1,0,0
53482412,3,3,2,0,3,1,0,0
53502416,1,1,0,0,3,1,0,0
53542386,3,1,2,0,3,4,0,2
53622366,3,1,4,4,3,4,2,3
53662376,1,1,0,0,3,1,0,0
53662388,1,1,2,0,3,1,0,1
53702348,4,0,0,0,3,1,0,1
53702356,1,1,2,0,3,1,0,1
53782342,2,2,0,0,3,1,0,1
53782364,2,2,0,0,3,1,0,1
53782378,2,1,0,0,3,4,0,0
53802330,2,0,0,0,3,1,0,1
53802340,2,2,0,0,3,1,0,0
53802366,4,0,0,0,3,4,0,0
53822386,2,1,0,0,3,1,0,0
53842348,3,3,2,0,3,1,2,0
53882320,2,0,0,4,3,1,2,1
53902362,4,0,0,0,3,1,0,1
53922390,3,3,2,0,3,1,0,1
53942332,2,2,0,0,3,1,0,1
53942344,4,2,0,0,3,1,0,1
